
@relation train
@attribute text String
@attribute Sentiment {negetive,neutral,positive}

@data
'Good to be back here.. So I just found out NL is more of an addiction  na so person almost run mad. Sadly no substitute man had to resort to lindaikeji chai. Welcome everyone back. Cheers!!!',neutral
'OgaKazeem: E dey na.... Ask Diportivo... E go supply am for U Diportivo no yarb me o.... Be like say you don chop crocodile pepper',neutral
'Shagati: Hehehe. Well done sir  you do well On loyalty  which is very difficult these days  please check out what the Koreans have done to the Stinger Down GAZZUZZ; DOWN!!!',neutral
'Following thread with surreptitious envy',neutral
'please they said my SLIP & VDC OFF LIGHT ARE COMING ON PLEASE WHAT CAN I DO TO THIS ?',neutral
'If you're lucky it's just low on transmission fluid and you haven't destroyed your transmission yet. Transmission filter could also be clogged. Check your transmission fluid level soon!',neutral
'I recently changed the flywhweel and torgue converter of my nissan primera P- car. Its year  wagon and engine size is .. CVT transmission. But the mechanic ignorantly and forcefully cut out the two wires on the connector on dropping resistor on the transmission when he separated engine from transmission during the repair work. The connector got stuck together and we had to remove the connector and join the wires only. I actually ran a scan before the connector wires were reconnected and got P. That time the car was driving with a lot of difficulties and the   sport   mode was unusually flashing on the dashboard. The part number of the dropping resistor is -E. But the connector that was conmected to a metal on the resistor was eventually removed before we could reconnect the wires back. After the wires were connected the car drives better  the   sport   mode flashing stopped and the code went away. The only issue left is that the CVT is not selecting properly again. No codes left after I re-scanned it. The car now drives without selecting the gears. Engine revs at RPM for car speed of /km/h as against RPM for car speed of /km/h before we did the flywheel/ converter replacement. I have drained the transmission oil two times and cleaned the magnetic filters and refill but there still no improvement. The transmission oil is still light red and clean for I changed around six months ago and the car has covered less than km. Please what can I check again?',positive
'I need help with my  Honda Odyssey radio lock',positive
'hello everyone  pls i am new here. I need ur candid opinion. I use a volkswagen polo my mechanic recently worked on the car n while he was test driving it the car caught fire (pictures posted alreday). The dilema now is do i repair or just sell?',positive
'Hi Nisspart  I have a Nissan Sentra   it is actually my first car  problem now is that it consumes too much fuel and the engine seems to be giving problem  the mechanic worked on it but now it seems I have to be topping oil and I dont know how long am to continue doing that. I need an expert to take a proper look at the Engine to ascertain the exact problem. Pls are u in Lagos  if u are not can u recommend a good auto repairer to me. Thanks',positive
'pathbisbama: Someone wants me to trade in my Maxima  for a toyota camry   what's ur take?Not until you give more and detailed information on the cars. You might as well ask us whether it's sensible to exchange your Max with k miles with the Camry of k miles.',positive
'My favorite is my AUDI.... superb car... all time favorite. I got it as a gift from my father for my wedding. Trust me the car is simply superb. Audi produces % galvanised cars to prevent corrosion  and was the first mass-market vehicle to do so  following introduction of the process by Porsche. Along with other precautionary measures  the full-body zinc coating has proved to be very effective in preventing rust. The body's resulting durability even surpassed Audi's own expectations  causing the manufacturer to extend its original -year warranty against corrosion perforation to currently  years (except for aluminium bodies which do not rust)',positive
'Hello  thanks for the prompt response. Condenser was replace of recent  Gas was also refill weeks back.',positive
'Hose down',positive
'Bossken: Pls i need advice for vw passat  model. i intend buying a nigerian used one and the owner said it has gear relay fault. what does that mean and what re the other peculiar issues with this car? thanks Yes it is a peculiar issue cos they keep feeding the car the wrong transmission oil. Find another car',positive
'webmaster: OK Guys  so I had an interesting experience with my  FX yesterday. Was driving on MB at night and all of a sudden the car could not accelerate anymore  checked the dash board and noticed the dash board lights were on and the brakes as well as steering started getting hard. I knew the car has just gone off. I managed to navigate to the edge of the bridge and switched off the car. Started the engine and the car started but went off immediately. Tried doing it again but this time around pressing the accelerator to rev the engine in order to stop it from going off again but the engine wont rev and car died. I Then called my mechanic and described what happened and he told me to check the filter in my airflow meter to confirm if it was torn and alas it was torn and worn out. Was told to remove the filter and start the car and to my greatest surprise everything was back in order and car moved fine. Drove it home with no issues after removing the torn filter. Had to go get a replacement filter this morning. Just to share this piece with my Infiniti FX users  never knew a torn filter would cause a car to behave like this way.Yes  all's well that ends well. Filter in airflow meter? What filter is that. Would you mean the common air filter? If so  beats me how you neglected it for so long to get to such state of dilapidation.',positive
'I drive a  nissan almera  I got it  months ago. The car hasn't been in real time usage until month back...Howeva jst last week I started to hear sum kind of noise frm the engine wich was confirmed to be the engine chain and has affected the chain guard and adjuster so therefore I opt for repair wich cost me close to k....After work done the engine now works perfectly but my car started exhausting smoke. PLS  WHAT CAN I DO?',positive
'car-doctor: @ ikenna What's the difference between this chat room and the general car talk section? Car-Doctor. I think Admin has already answered your question above. Anyway  simple  its a discussion room for off topics and etc. Ikenna',positive
'Mroluwale u get mind o! Its a scam.',positive
'following..',positive
'Old front suspension bits all out Note the worn down discs  lip and all',positive
'Dont use any dashboard cleaner spray on it. Dont have front end accidents that will require you to replace headlights Regular oil changes',positive
'nissparts: Change the oxygen sensor and observe differences in the mpgThanks for the advise. Please how do I know the sensor to buy? Is there a part number or can I just get anyone that fits? Also I understand there are more than one oxygen sensors in the car  which do I change? Thanks                                           ',positive
'[quote author=vanalero post=][/quote] You car transmission is likely the culprit. Auto transmission  right? Ikenna',positive
'Any good AC guy in Abuja? No kazeem pls.',positive
'@costee..... I called nisspart today but he said he's relocated from Opebi so getting that SES ish doesn't seem to get any fixing soon... Costee: Are there any normal drive /gear issues? As for Nissparts' location  your phone should do that. All you need is some reference to a good auto electrician. It's either a way is found around the erring switch or the entire device is replaced altogether. The second option is most likely.',positive
'protocol: Boss  my ac control does not stay on if i press it to switch it on. but if i press and hold it  it will stay and start working but if i remove my hand it will off. thanks BossThe switch is bad change it.',positive
'Please i need assistant  my Pontiac Vibe steering is hard why ?',positive
'dubem: been meaning to ask what do you think is the reason behind the persistent Honda shaft issue? No idea. Ikenna',positive
'drumma: BABA OKO Mii.... I have scanned and rescanned the error code P has been reviewed with an OBD II scanner being used to clear the code until it came back again.... but my bone of contention is I want to get an auto consultant/specialist assess the car for me for professional advise.... Ok o IYA OKO Mii...I thought I advised earlier that you get in touch with Nissparts. You'd have to attend to that control device. In the alternative let sleeping dogs lie since  I presume  you don't use the manual drive mode and there are no issues concerning the smooth drive of the car. I agree though that the continued illumination of that SES light can be annoying.',positive
'Quarter right side front and rear. Body very straight. Very minimal rust. Rear right door has apparently had a makeover',positive
