@relation train
@attribute text String
@attribute Sentiment {negative,neutral,positive}

@data
'eaglechild: I have  maxima which i got six years ago. I love the car and im attached to it. I changed the timing chain last year and it has been performing like a  cylinder instead of a v. I want to change the engine  any idea of the cost of a top grade one. Do i also need to change the gear box? It is not giving any probs though. I have a camry but i find it boring. I need my maxima back till i can get a new one. Actually thinking of switching to a .L V Altima. STOP STOP STOP. Converting from maxima . to . is a big headache and not an easy job. Buy your engine and drop it in. Why did you change the timing chain? it is a life time item. I have owned couple of that maximas and i never did a timing chain. I had one with   km and regularly drive from canada to the states. That . engine is a very good engine and lasts for a long time if well maintained',negative
'webmaster: Just got  Infinity FX. Mehn the ride is wicked and fast!!!! Wetin you go talk about FX now?',negative
'Shagati: NiceOga Shagati should we be expecting the replacement parts this week?',negative
'Thank you very much for your advice. I appreciate. nissparts: Check engine light has nothing to do with changing engine oil (mostly) You need a diagnostic scanner to detect what the check light is coming on for and only a fix would turn it off. Smelling oil through the vents is a bad sign. I hope the engine oil was not overfilled. ABS light also means there is a fault with the braking system. A scanner can also point out exactly where the issue is. I strongly recommend you download the user and service manual for the Murano and learn as much as you can about the vehicle. It does not take kindly to novice errors.',neutral
'Hello friends  good evening to you all. please I have a Tokumbo Ford Galaxy silver ray that I bought for commercial purposes. The driver I got wants to ply Onitsha to Abuja  Kano and other northern states. We had an agreement that I would be responsible for the car maintenance while he remits k to me on weekly basis. On second thought  I felt cheated and decided to ask if k is good for such a car that travels far north. note: It carries  persons and charges N  per head. Thanks in anticipation!',neutral
'kingreign: Buy more Toyotas joor.I know toyata can be very economical and simple to handle but some other machines like BMW and Benz can offer more what do you think?',neutral
'ReadoneeL: It wont cause any balance. Its called Staggered Wheels. The front wheels are a little smaller with bigger tyres. The rear wheels are bigger with small tyres . All tyres are the same in length. So the car will still ride smoothly. But dont run Staggered wheels on Awd. It will damage your tranny or drive shaftLearnt something today. Thank you sir for taking time out to explain.',neutral
'Shagati: Welcome back from hibernation sir. Thank you Sir.',neutral
'@ Shagati Order on point. we are waiting for the parts to arrive so the bmw will have a new look. I hope shipping those parts didnt break your bank?',neutral
'Hi Please I bought an infiniti M  and want to have it registered here in Nigeria and I have the VIN number but they are requesting for the Engine number before they can register and give me a plate number. Just want to know does this new cars come with engine number because the engine capartment is so sofisticated I dont even know what to touch or remove. Please I need this information.',neutral
'Pls how much would it cost to build an AC system in a Nissan almera  model and any recommended technician in pH. thanks',neutral
'Dear Nairalanders.. I have a nissan sentra  model  but i have been having issues with the ignition coil. I have changed the coil several times. last week i changed all the  ignitions coils and three days later two of them went bad. please anyone with any idea on how i can have a permanent fix of this problem.',neutral
'Namzy: How do we know the type of oil and quantity. My  honda accord i compressor I bought and used for a week heat up and burnt the clutch. The former compressor leaked through the pipe with the oil and burnt very badly needing a new one. Nowthe latest one burnt but I think its only the clutch thats affected. Pls whats the oil type and quantity. The last was using green oil and new one transparent oil was used. And we cant find someone profess thats can vaccum here at anambra NnewiUse ND  or pag  for the lubricant oil and for the gas quantity is between -gram max.seems the technical doesnt have vacuum machine let him fill the gas without starting the car .',neutral
'Chelseafan: Bro  what about some of us that need your services in far away Ife  Osun state.? No wahala all you need to pay is my transportation and out of station allowance.',neutral
'Good to be back here.. So I just found out NL is more of an addiction  na so person almost run mad. Sadly no substitute man had to resort to lindaikeji chai. Welcome everyone back. Cheers!!!',neutral
'OgaKazeem: E dey na.... Ask Diportivo... E go supply am for U Diportivo no yarb me o.... Be like say you don chop crocodile pepper',neutral
'Shagati: Hehehe. Well done sir  you do well On loyalty  which is very difficult these days  please check out what the Koreans have done to the Stinger Down GAZZUZZ; DOWN!!!',neutral
'Following thread with surreptitious envy',neutral
'please they said my SLIP & VDC OFF LIGHT ARE COMING ON PLEASE WHAT CAN I DO TO THIS ?',neutral
'If youre lucky its just low on transmission fluid and you havent destroyed your transmission yet. Transmission filter could also be clogged. Check your transmission fluid level soon!',neutral
'I recently changed the flywhweel and torgue converter of my nissan primera P- car. Its year  wagon and engine size is .. CVT transmission. But the mechanic ignorantly and forcefully cut out the two wires on the connector on dropping resistor on the transmission when he separated engine from transmission during the repair work. The connector got stuck together and we had to remove the connector and join the wires only. I actually ran a scan before the connector wires were reconnected and got P. That time the car was driving with a lot of difficulties and the   sport   mode was unusually flashing on the dashboard. The part number of the dropping resistor is -E. But the connector that was conmected to a metal on the resistor was eventually removed before we could reconnect the wires back. After the wires were connected the car drives better  the   sport   mode flashing stopped and the code went away. The only issue left is that the CVT is not selecting properly again. No codes left after I re-scanned it. The car now drives without selecting the gears. Engine revs at RPM for car speed of /km/h as against RPM for car speed of /km/h before we did the flywheel/ converter replacement. I have drained the transmission oil two times and cleaned the magnetic filters and refill but there still no improvement. The transmission oil is still light red and clean for I changed around six months ago and the car has covered less than km. Please what can I check again?',positive
'I need help with my  Honda Odyssey radio lock',positive
'hello everyone  pls i am new here. I need ur candid opinion. I use a volkswagen polo my mechanic recently worked on the car n while he was test driving it the car caught fire (pictures posted alreday). The dilema now is do i repair or just sell?',positive
'Hi Nisspart  I have a Nissan Sentra   it is actually my first car  problem now is that it consumes too much fuel and the engine seems to be giving problem  the mechanic worked on it but now it seems I have to be topping oil and I dont know how long am to continue doing that. I need an expert to take a proper look at the Engine to ascertain the exact problem. Pls are u in Lagos  if u are not can u recommend a good auto repairer to me. Thanks',positive
'pathbisbama: Someone wants me to trade in my Maxima  for a toyota camry   whats ur take?Not until you give more and detailed information on the cars. You might as well ask us whether its sensible to exchange your Max with k miles with the Camry of k miles.',positive
'My favorite is my AUDI.... superb car... all time favorite. I got it as a gift from my father for my wedding. Trust me the car is simply superb. Audi produces % galvanised cars to prevent corrosion  and was the first mass-market vehicle to do so  following introduction of the process by Porsche. Along with other precautionary measures  the full-body zinc coating has proved to be very effective in preventing rust. The bodys resulting durability even surpassed Audis own expectations  causing the manufacturer to extend its original -year warranty against corrosion perforation to currently  years (except for aluminium bodies which do not rust)',positive
'Hello  thanks for the prompt response. Condenser was replace of recent  Gas was also refill weeks back.',positive
'Hose down',positive
'Bossken: Pls i need advice for vw passat  model. i intend buying a nigerian used one and the owner said it has gear relay fault. what does that mean and what re the other peculiar issues with this car? thanks Yes it is a peculiar issue cos they keep feeding the car the wrong transmission oil. Find another car',positive
'webmaster: OK Guys  so I had an interesting experience with my  FX yesterday. Was driving on MB at night and all of a sudden the car could not accelerate anymore  checked the dash board and noticed the dash board lights were on and the brakes as well as steering started getting hard. I knew the car has just gone off. I managed to navigate to the edge of the bridge and switched off the car. Started the engine and the car started but went off immediately. Tried doing it again but this time around pressing the accelerator to rev the engine in order to stop it from going off again but the engine wont rev and car died. I Then called my mechanic and described what happened and he told me to check the filter in my airflow meter to confirm if it was torn and alas it was torn and worn out. Was told to remove the filter and start the car and to my greatest surprise everything was back in order and car moved fine. Drove it home with no issues after removing the torn filter. Had to go get a replacement filter this morning. Just to share this piece with my Infiniti FX users  never knew a torn filter would cause a car to behave like this way.Yes  alls well that ends well. Filter in airflow meter? What filter is that. Would you mean the common air filter? If so  beats me how you neglected it for so long to get to such state of dilapidation.',positive
'I drive a  nissan almera  I got it  months ago. The car hasnt been in real time usage until month back...Howeva jst last week I started to hear sum kind of noise frm the engine wich was confirmed to be the engine chain and has affected the chain guard and adjuster so therefore I opt for repair wich cost me close to k....After work done the engine now works perfectly but my car started exhausting smoke. PLS  WHAT CAN I DO?',positive
'car-doctor: @ ikenna Whats the difference between this chat room and the general car talk section? Car-Doctor. I think Admin has already answered your question above. Anyway  simple  its a discussion room for off topics and etc. Ikenna',positive
'Mroluwale u get mind o! Its a scam.',positive
'following..',positive
'Old front suspension bits all out Note the worn down discs  lip and all',positive
'Dont use any dashboard cleaner spray on it. Dont have front end accidents that will require you to replace headlights Regular oil changes',positive
'nissparts: Change the oxygen sensor and observe differences in the mpgThanks for the advise. Please how do I know the sensor to buy? Is there a part number or can I just get anyone that fits? Also I understand there are more than one oxygen sensors in the car  which do I change? Thanks                                           ',positive
'[quote author=vanalero post=][/quote] You car transmission is likely the culprit. Auto transmission  right? Ikenna',positive
'Any good AC guy in Abuja? No kazeem pls.',positive
'@costee..... I called nisspart today but he said hes relocated from Opebi so getting that SES ish doesnt seem to get any fixing soon... Costee: Are there any normal drive /gear issues? As for Nissparts location  your phone should do that. All you need is some reference to a good auto electrician. Its either a way is found around the erring switch or the entire device is replaced altogether. The second option is most likely.',positive
'protocol: Boss  my ac control does not stay on if i press it to switch it on. but if i press and hold it  it will stay and start working but if i remove my hand it will off. thanks BossThe switch is bad change it.',positive
'Please i need assistant  my Pontiac Vibe steering is hard why ?',positive
'dubem: been meaning to ask what do you think is the reason behind the persistent Honda shaft issue? No idea. Ikenna',positive
'drumma: BABA OKO Mii.... I have scanned and rescanned the error code P has been reviewed with an OBD II scanner being used to clear the code until it came back again.... but my bone of contention is I want to get an auto consultant/specialist assess the car for me for professional advise.... Ok o IYA OKO Mii...I thought I advised earlier that you get in touch with Nissparts. Youd have to attend to that control device. In the alternative let sleeping dogs lie since  I presume  you dont use the manual drive mode and there are no issues concerning the smooth drive of the car. I agree though that the continued illumination of that SES light can be annoying.',positive
'Quarter right side front and rear. Body very straight. Very minimal rust. Rear right door has apparently had a makeover',positive
'Good day house Please I need a good auto mech to help resolve my camry issue   car already sanned but need someone to help fix it. Call me on                                            ',negative
'Hello guys  where can I get high intensity display (HID) fog lights for my FX  and the cost? Also where can I get the vehicle scanner for vehicle diagnostics of a  FX  (AWD). I need it as a personal toolkit. My low tire warning light has been showing on the dash board for sometime now even after inflating all the tires. On the display  the tire pressure is indicated as    **  and . Dont knw why the ** is showing for one of the tires. The manual recommends  psi but most vulcanizers I have used say they usually inflate the tire to  for jeeps. Their guages doesnt have a unit so to be on the safe side I stick with . What is the required specification on the local vulcanizer scale for FX ?                                       ',negative
'Costee: Can you post the vin? Or we could chat it over. Call tried getting u on WhatsApp  no response  vin is jnkcvem                                          ',negative
'Thanks Nisspart  I will follow your advise tomorrow morning  afterwards I will get back to you on the outcome.                                          ',negative
'@drumma... If you have not filled your engine with it  would advice you wait for his response. Most of the oils we use that aint manufacturers specs wears the engine. #k aint much a sacrifice to replacing an engine before its life span.                                           ',negative
'nyfemy: Hello Costee & Nissparts or any one else for that matter. Anyone experiencing a similar issue with a stuffy cabin? Or is it just peculiar to my ride? Or is it my imagination/ all in my head? Would surely appreciate your much needed pointers. Thanks in advance. Sorry guys please ignore the above quoted post as i was able to retrieve the reply to it after i had posted ( still newish to the forum  hence  not too familiar with the search mechanism) Thanks to Nissparts for pointing me in the direction of the (possibly) blocked cat as the culprit. Am yet to tend to it but avoid driving the car anyway until i can do as advised.                                          ',negative
'The Importance of Car Air-Conditioner Maintenance by mosbus cool If your car has an air conditioner  and it most likely does  then it is important to get routine maintenance done on it. Many people donâ€™t think much about their car air conditioner until they need it and itâ€™s not performing correctly. But the best way to keep it performing at its best is to get routine maintenance done as needed. Routine maintenance is important for every car air conditioner for several reasons  including: â€¢ Keeping it cool. There are a number of problems that can lead to an air conditioner not working as well as it should. Before it becomes a problem these issues can usually be addressed through routine maintenance. That way you never miss a beat in the heat. â€¢ Keeping it clean. When you have a clean air conditioning unit you will help to keep it in good running order. Routine maintenance will keep the hoses and belt clean and running as they should. â€¢ Keeping it from getting worse. Routine maintenance on your car air conditioner will help us catch problems right away  rather than them compounding and getting worse. The sooner you can catch and fix a problem  the better off you will be in the long run. â€¢ Keeping up the value. You paid additional money to have an air conditioner in your vehicle. The good news is that it will help keep the value of your car up if you take care of it. Once you go to sell the vehicle it is a plus if you can demonstrate that you have had routine maintenance performed  including having it done on the car air conditioner. â€¢ Keeping you comfortable. One of the best reasons to keep up on air conditioning maintenance is so that you can actually enjoy the cool air. Being able to beat the heat on a hot summer day is worth the little bit of effort it takes to keep your carâ€™s air conditioner maintained. The good news is that routine maintenance and inspections on your carâ€™s air conditioner is as simple as giving the Keepinâ€™ Cool Auto Air-Conditioning Specialist a call. We are fully equipped professional. We can take care of all your air conditioning needs while you work or do other things.we will be glad to help keep your car air conditioning maintained and pleasantly cool!                                      ',negative
'lomomike: Did you or anyone tamper with it  are the fuse  buttons still working? yes I belive d fuse button still works because d individual window botton can wind down the window but can not wind up                                          ',negative
'I started my Toyota Camry  (Big for Nothing) Model on Monday after work and noticed the Check Engine Light came ON  I took it to my mechanic and he removed the battery terminals and put it back and the light went off. After  days  I noticed the light came back on while driving to work. Please what is the possible cause of this and how can I get it off? Thanks                                          ',negative
'dumo: The new lights are way better than the old one..Are you changing the main headlamps too?Yes. Much better. PMB says to hold on with the headlights first                                            ',negative
'aribolseg: many thanks how do i reach you. the car is parked at home. will get back to you later in the day                                            ',negative
'Kingsteve: For some reason  most Nissan products are unreliable  from Pathfinder  Xterra  Murano  Maxima  to Titan  while their luxury brand  Infiniti  are well built! I wonder... And what are the basis for your conclusion?                                   ',negative
'nissparts: A primera  almera or GHey! Leave the G out of that bracket.                                           ',negative
'Osama: Last week Friday l had  coils blown out  went to the mechanic close by and he changed the bad coils  all was fine again until yesterday again with same thing happening Prior to this the car was idling with the AC on for about  minutes waiting for someone  called the mechanic again he tried everything possible with no head way. He cleaned all  plugs. He changed the bad coils but as soon as l start the car its blown again. He checked the air filter which was badly clogged but he dusted it before replacing it. His advice was to disconnect the thermostat grin grin grin l just laughed inwardly change the radiator from the single cell to double cell. My plan is to scan the car again next week  change all  plugs and  coils  the temperature gauge has always been in the same position since I bought the car  I have a feeling I need to flush the radiator. Any ideas from the house?You mean you dont have a scan tool yet? I presume your SES light is on; then go ahead and scan. Theres probably a short somewhere  and changing your plugs and coils without attending to it will avail nothing.                                    ',negative
'Osama: Hmmn  lets see whatz up tommorow from the scan.someone with a maxima once had dis problem. After changing coils so many times  discovered there was a short in the ground wire for the coils. That was the permanent fix. Rats may have eaten the ground wire in Ur case.                                          ',negative
'chukel: someone with a maxima once had dis problem. After changing coils so many times  discovered there was a short in the ground wire for the coils. That was the permanent fix. Rats may have eaten the ground wire in Ur case. Ok would be checking that also.                                           ',negative
'Hello all  i drive a  Nissan Altima since september of this year. I have been having issues with one thing or the other in the engine till it almost packed up. I have got a new engine but one of the sensors didnt match with the socket of the car. I hope my mechanics know what they are doing with the engine they bought in the first place. I need contact of very good mechanics for Nissan.                                           ',negative
'Osama: Na wa oh. my brother  are u still on this? No headway with chuks? I think the earlier u get directly and physically involved in this ride the better. Join Nissan/infiniti forums abroad. You will get more help. I have gained immensely from toyotanation.                                           ',negative
'lungwun: Clear. I am an amber kind of guy. But I also like matching indicators dumo: clear to match the clear lights on the tail lights EgunMogaji: Factory = amber. Thatâ€™s a stately and matured car Sir. I hear you all. We shall see                                            ',negative
'Pls beware of this fault on your car air conditioning system. If you ever noticed your air conditioning stops cooling when ever the weather is sunny. Pls check your SOLAR SENSOR possible cause the sensor might be dirty or maybe during the process of changing your evaporator the technician forgot to put it in the right position. If you scan the air conditioner system it will give you this code B this is common on Toyota e.g.lexus Prius etc.                                          ',negative
'For some reason  most Nissan products are unreliable  from Pathfinder  Xterra  Murano  Maxima  to Titan  while their luxury brand  Infiniti  are well built! I wonder...                                   ',negative
'Scan your car and come back with the codes                                            ',negative
'OK.Nissparts. Will call you once I return to Lagos. Travelled out of Lagos at the moment. Rgds                                            ',negative
'Costee: EVAP canister purge volume control solenoid valve. Small nondescript item in the engine bay. Thanks will check it out.                                           ',negative
'The foglights are missing on this vehicle and Ladipo did not have it last time I checked. Soooooo....? Its Ebay again! (In Dbanjs voice)                                          ',negative
'Also change the weak boot/trunk struts while we re on a strut changing spree abi? Ok sir.                                            ',negative
'please I need to get a new Maxima  engine V .l urgently. Can anyone here give me idea of the price ( full and skeleton) and if anyone has one he can guarantee pls let me no.                                            ',negative
'Saintp: How do you mean when you say engine noise? please clarify. Tanx are u purchasing one with a V engine or a four cylinder inline? The four cylinder has problems of engine noise. Ill suggest you purchase the  altima V engine  then u have no problem                                           ',negative
'SirAbdulthest: Nice one. These Toyotas wey full everywhere cant reach this age retaining this state. I gbadun your swags Stop comparing Toyota to this bro except youre comparing them to Toyota crown majesta which are JDM stuffs. Toyota America or mass market appeals to low and medium income earners and can skimp on quality  fit and finish to stay within price range  this bmw appeals to high income earners and must be top notch in fit and finish to appeal to its intended market.                                          ',negative
'I like Shagati and his car thread. I have been a silent follower. Recently made up my mind to get a  i when my akant completes billion  so Id like to ask you again if in retrospect  youll stnad by that car. I saw your thread on it  was sad to see it go  because the beauty of it affirmed my decision to acquire. My small fear now is that due to the nonsense that is happening in our petroleum sector  is the fuel economy of the i bmw a wise decision? Never driven an i before so Im not sure if Itd be a very jarring difference from my previous .l Is. I used to drive a .l turbo charged Passat until very recently. Sold it  and Im thinking of going back in time for something smaller  but arguably more elegant. So  your final judgement on the i (other people with experience can talk o) Still waiting for you to continue the restoration project o. Thanks.                                    ',negative
'Please I need advice on which car to buy as a first time car buyer  I dont have prior experience with cars. I like the Mazda  or   Honda Civic  -  model. The car is needed for daily movement to work in Abuja. Please advice on which to pick. My budget is K                                          ',negative
'katcychrist: Please i need help ikenna between  toyota avalon and  acura which is better in terms of engine and maintenance Your request isnt too specific. There are many models of Acura. Do you mean acura RL  acura TL  acura MDX or what?                                         ',negative
'Yes the tyres were removed from the rim I dropped the vehicle with him at am and picked up by pm.                                            ',negative
'phazotron: The car of my dreams is w s class (-). Classic and timeless design. Wrong assertion. The most timeless and classic S classe are WW and W. These are true mercedes S klasse                                            ',negative
'isnt there people who have merc for sale on nairaland anymore?                                            ',negative
'Please I need help. I use  Infiniti QX. The exhaust is bringing out white smoke and burning oil. When I first noticed it  I was advised to change the oil. I changed to Milemaster W . Smoking stopped. Recently the smoke has started again. This is mainly in the morning. Apart from this the engine runs fine. My mechanic said I may need to ring the engine. Somebody else said I will have to replace the engine as it can not be ringed Another person said it may be a sensor problem. I will appreciate your advice please.                                           ',negative
'bintudon: I have Peugeot  for sale going for  use for just one year Im interested your contact please or send pics to whatsapp . If it was converted from RH to LH dont bother                                           ',negative
'If used in Nigeria  I would avoid. Alternatively  have a budgeted sum for any possible repairs                              ',negative
'Osama: ^^^^^^^ That day I go buy one goat to celebrate am. March th till today  still trying to be patient. As the saying goes: A promise is a debt.                                           ',negative
'Digriz: i want to buy a car scanner pls who knw the one that is better for cars from  upward and hw i can get it.what part of the country do you reside?                                            ',negative
'You sure say na danfo fault abi you dey do speed racer in order to test the new brakes Ill get back to you mrw. Which of the side linings?                                            ',negative
'austinreal: Well it goes like this  once in a while the temp gauge hits the redline immediately I start the vehicle  when I then switch on the AC it returns to the halfway point  also known notice whenever the temp gauge is on the redline  the engine sounds normal  and it doesnt exhibit the traits of a car overheating... what could be wrongcheck the switch that should trigger your fan when engine temperature goes up. Your fan may not be coming up spontaneously unless ac is switched on                                       ',negative
'Anybody reading this now will think you were there with them in GBAGADA... LOL if you really want full details i will damage the reputation of your work because your boys arriving at someone residence at pm to fix a car is totally unethical but i will save you the stress and allow people enjoy your story for what it is...... Again I say God bless Costee & Nissparts....... and also ade the only reasonable person who was lucky to be at the location of the vehicle.... God bless you too pek: Go through my profile  nobody has even accused me of anything when it comes to brainbox. I always leave my customers satisfied! You are the first. Do you know the meaning of what you just wrote? Thats defamation of character. Your mechanic was there ALL the time and you were in constant touch with him. Did he say the car didnt start? So why will you use such words as claim and desperation? If I was desperate for anything  it was to see your car work. For those of you following drummas FX issue  here is the update. I got interested in his issue when he mentioned he has tested several ECU and the car didnt start. I specifically told him that it is only the right one that will work. He contacted me and we agreed on me getting the brainbox from me. I sent someone to his place with the Right brainbox after it has been reprogrammed. Unfortunately  it didnt work. I told him we have to go with the scanner to detect the fault. Today is the fourth day and it is either we cant get the key or his mechanic wont be around. We even had to go with other brainbox to test. Today  we were able to trace the fault and rectify. The car started fine. His mechanic was surprised. We noticed the car wasnt performing optimally. It was discovered two nozzle were bad. Current was entering but it was not spraying. We interchanged the nozzle and got the same result. The mechanic was there all the time  relaying info to drumma. How is it brainbox?                                      ',negative
'Following.                                            ',negative
'to the engineers pls help me out. i bought a nissan pathfinder   electric carburator and im lovin it but the problem im havin is that if i press my turtle and the odometer reaches number   it drop back to zero or somethin but the engine wont go off but if pressing gradually  it works fine. with this proble   i cant overtake vehicles and d odometer drops enytin i press normally. gotten to mechanic and got it scanned  was told its one sensor that failed  i payed for the sensor to get it fix but my brothers in d house  the problem still persist. and also my ABS light is always on What should i do                                     ',negative
'No its not. Only use NS- for Nissans that require it. NO ALTERNATIVES.                                            ',negative
'Pls I want to buy rim cover online for my toyota picnic  my rim size is  but am seeing mm mm mm online  I duno which would match my rim  kindly help pls                                         ',negative
'Wow didnt know there were so many issues here. Please quote my moniker and Ill respond to your query.                                            ',negative
'Mr Shagati do you have the same major problem of burnt out pixels on your instrument cluster?                                            ',negative
'mosbus: The drainage is blocked that is why you are seeing water inside the car. i will mek out time and come to ur workshop. thank u Sir                                           ',negative
'ekediamondfuto: badass astute demeanor! where is timifakay? please we need the mathematical rendering of demeanor  some folks only understand the English def A demeanor is anyone who knows Golf*fire= scrap..... () Taking fire= But Dancok assumes Golf*fire= Golf..... () Taking ()=() Golf*fire= scrap Golf*fire= Golf Cross multiplying Golf *Golf*fire = Scrap *Golf*fire Therefore Golf=Scrap...... () Dancoks law states: A Golf whether burnt or not is still worth its purchase value of #  . Golf= #   Therefore  from equation () Golf=Scrap= #   Going back to () Replacing Golf with #   Recall: Fire= #  *=..... (*). QED Demeanors law states that after introducing fire into a car it becomes scrap no matter the amount it was purchased. *Drops mic*                                ',negative
'I want to buy Altima / model. I heard its problem is mostly electronics and gears making it hard to fix. has anybody used this car? wot do u think?                                            ',negative
'Change the oxygen sensor and observe differences in the mpg                                            ',negative
